2048, 8, 296 
2048, 9, 158 
2048, 10, 218 
2048, 11, 164 
2048, 12, 262 
2048, 13, 216 
2048, 14, 289 
2048, 15, 227 
2048, 16, 254 
4096, 1, 48 
4096, 2, 49 
4096, 3, 146 
4096, 4, 75 
4096, 5, 74 
4096, 6, 89 
4096, 7, 95 
4096, 8, 120 
4096, 9, 170 
4096, 10, 194 
4096, 11, 206 
4096, 12, 284 
4096, 13, 229 
4096, 14, 217 
4096, 15, 277 
4096, 16, 439 
8192, 1, 77 
8192, 2, 64 
8192, 3, 82 
8192, 4, 125 
8192, 5, 279 
8192, 6, 137 
8192, 7, 108 
8192, 8, 131 
8192, 9, 181 
8192, 10, 475 
8192, 11, 548 
8192, 12, 220 
8192, 13, 245 
8192, 14, 557 
8192, 15, 864 
8192, 16, 456 
16384, 1, 119 
16384, 2, 87 
16384, 3, 83 
16384, 4, 85 
16384, 5, 601 
16384, 6, 125 
16384, 7, 130 
16384, 8, 154 
16384, 9, 171 
16384, 10, 268 
16384, 11, 169 
16384, 12, 204 
16384, 13, 819 
16384, 14, 483 
16384, 15, 233 
16384, 16, 390 
32768, 1, 158 
32768, 2, 131 
32768, 3, 147 
32768, 4, 105 
32768, 5, 381 
32768, 6, 144 
32768, 7, 158 
32768, 8, 162 
32768, 9, 428 
32768, 10, 279 
32768, 11, 250 
32768, 12, 227 
32768, 13, 376 
32768, 14, 299 
32768, 15, 294 
32768, 16, 274 
65536, 1, 298 
65536, 2, 230 
65536, 3, 159 
65536, 4, 179 
65536, 5, 177 
65536, 6, 175 
65536, 7, 192 
65536, 8, 358 
65536, 9, 226 
65536, 10, 251 
65536, 11, 281 
65536, 12, 296 
65536, 13, 307 
65536, 14, 272 
65536, 15, 261 
65536, 16, 295 
131072, 1, 508 
131072, 2, 335 
131072, 3, 288 
131072, 4, 747 
131072, 5, 310 
131072, 6, 244 
131072, 7, 266 
131072, 8, 244 
131072, 9, 269 
131072, 10, 227 
131072, 11, 231 
131072, 12, 249 
131072, 13, 320 
131072, 14, 310 
131072, 15, 314 
131072, 16, 368 
262144, 1, 1107 
262144, 2, 534 
262144, 3, 484 
262144, 4, 411 
262144, 5, 394 
262144, 6, 412 
262144, 7, 412 
262144, 8, 363 
262144, 9, 336 
262144, 10, 353 
262144, 11, 342 
262144, 12, 415 
262144, 13, 358 
262144, 14, 362 
262144, 15, 383 
262144, 16, 352 
524288, 1, 2172 
524288, 2, 1150 
524288, 3, 804 
524288, 4, 730 
524288, 5, 728 
524288, 6, 782 
524288, 7, 584 
524288, 8, 654 
524288, 9, 541 
524288, 10, 636 
524288, 11, 559 
524288, 12, 530 
524288, 13, 479 
524288, 14, 586 
524288, 15, 731 
524288, 16, 509 
1048576, 1, 4357 
1048576, 2, 2181 
1048576, 3, 1535 
1048576, 4, 1397 
1048576, 5, 1289 
1048576, 6, 1253 
1048576, 7, 1039 
1048576, 8, 1105 
1048576, 9, 996 
1048576, 10, 1028 
1048576, 11, 1202 
1048576, 12, 900 
1048576, 13, 854 
1048576, 14, 847 
1048576, 15, 868 
1048576, 16, 789 
2097152, 1, 8195 
2097152, 2, 4375 
2097152, 3, 2915 
2097152, 4, 2721 
2097152, 5, 2284 
2097152, 6, 2115 
2097152, 7, 1973 
2097152, 8, 1869 
2097152, 9, 1654 
2097152, 10, 1547 
2097152, 11, 1583 
2097152, 12, 1518 
2097152, 13, 1560 
2097152, 14, 1335 
2097152, 15, 1299 
2097152, 16, 1404 
4194304, 1, 14961 
4194304, 2, 8259 
4194304, 3, 5885 
4194304, 4, 4359 
4194304, 5, 4025 
4194304, 6, 3760 
4194304, 7, 3200 
4194304, 8, 3252 
4194304, 9, 3036 
4194304, 10, 2920 
4194304, 11, 2777 
4194304, 12, 2651 
4194304, 13, 2578 
4194304, 14, 2405 
4194304, 15, 2599 
4194304, 16, 2458 
8388608, 1, 23805 
8388608, 2, 15849 
8388608, 3, 12099 
8388608, 4, 8549 
8388608, 5, 8142 
8388608, 6, 6951 
8388608, 7, 5800 
8388608, 8, 6049 
8388608, 9, 5378 
8388608, 10, 5107 
8388608, 11, 4987 
8388608, 12, 4967 
8388608, 13, 4666 
8388608, 14, 4371 
8388608, 15, 4284 
8388608, 16, 4165 
16777216, 1, 40902 
16777216, 2, 24211 
16777216, 3, 19224 
16777216, 4, 15834 
16777216, 5, 15216 
16777216, 6, 13126 
16777216, 7, 12359 
16777216, 8, 12193 
16777216, 9, 10531 
16777216, 10, 10518 
16777216, 11, 10302 
16777216, 12, 8520 
16777216, 13, 7829 
16777216, 14, 8005 
16777216, 15, 7969 
16777216, 16, 7413 
33554432, 1, 76677 
33554432, 2, 41719 
33554432, 3, 31255 
33554432, 4, 24560 
33554432, 5, 24175 
33554432, 6, 20700 
33554432, 7, 21463 
33554432, 8, 20661 
33554432, 9, 18699 
33554432, 10, 17590 
33554432, 11, 17547 
33554432, 12, 16132 
33554432, 13, 14867 
33554432, 14, 14467 
33554432, 15, 13135 
33554432, 16, 13604 
67108864, 1, 148892 
67108864, 2, 78481 
67108864, 3, 54284 
67108864, 4, 44249 
67108864, 5, 39428 
67108864, 6, 42665 
67108864, 7, 37579 
67108864, 8, 33954 
67108864, 9, 31485 
67108864, 10, 28945 
67108864, 11, 26440 
67108864, 12, 24858 
67108864, 13, 23508 
67108864, 14, 23365 
67108864, 15, 20721 
67108864, 16, 21585 
