32768, 6, 456 
32768, 7, 460 
32768, 8, 410 
32768, 9, 777 
32768, 10, 847 
32768, 11, 547 
32768, 12, 498 
32768, 13, 677 
32768, 14, 671 
32768, 15, 650 
32768, 16, 756 
65536, 1, 328 
65536, 2, 386 
65536, 3, 312 
65536, 4, 433 
65536, 5, 340 
65536, 6, 397 
65536, 7, 478 
65536, 8, 639 
65536, 9, 540 
65536, 10, 423 
65536, 11, 559 
65536, 12, 528 
65536, 13, 594 
65536, 14, 707 
65536, 15, 693 
65536, 16, 666 
131072, 1, 522 
131072, 2, 393 
131072, 3, 344 
131072, 4, 458 
131072, 5, 461 
131072, 6, 453 
131072, 7, 464 
131072, 8, 484 
131072, 9, 504 
131072, 10, 583 
131072, 11, 584 
131072, 12, 527 
131072, 13, 743 
131072, 14, 665 
131072, 15, 765 
131072, 16, 910 
262144, 1, 852 
262144, 2, 685 
262144, 3, 498 
262144, 4, 468 
262144, 5, 500 
262144, 6, 553 
262144, 7, 530 
262144, 8, 551 
262144, 9, 619 
262144, 10, 597 
262144, 11, 727 
262144, 12, 933 
262144, 13, 683 
262144, 14, 758 
262144, 15, 790 
262144, 16, 779 
524288, 1, 1800 
524288, 2, 931 
524288, 3, 829 
524288, 4, 695 
524288, 5, 647 
524288, 6, 744 
524288, 7, 717 
524288, 8, 696 
524288, 9, 635 
524288, 10, 745 
524288, 11, 744 
524288, 12, 856 
524288, 13, 891 
524288, 14, 792 
524288, 15, 1003 
524288, 16, 770 
1048576, 1, 3405 
1048576, 2, 1844 
1048576, 3, 1321 
1048576, 4, 1183 
1048576, 5, 1092 
1048576, 6, 1088 
1048576, 7, 1029 
1048576, 8, 1009 
1048576, 9, 1009 
1048576, 10, 958 
1048576, 11, 1016 
1048576, 12, 1009 
1048576, 13, 1030 
1048576, 14, 1016 
1048576, 15, 1029 
1048576, 16, 1033 
2097152, 1, 5770 
2097152, 2, 3723 
2097152, 3, 2515 
2097152, 4, 2136 
2097152, 5, 2025 
2097152, 6, 1786 
2097152, 7, 1618 
2097152, 8, 1520 
2097152, 9, 1486 
2097152, 10, 1534 
2097152, 11, 1373 
2097152, 12, 1446 
2097152, 13, 1381 
2097152, 14, 1384 
2097152, 15, 1419 
2097152, 16, 1474 
4194304, 1, 12638 
4194304, 2, 6962 
4194304, 3, 4573 
4194304, 4, 3484 
4194304, 5, 3408 
4194304, 6, 2921 
4194304, 7, 2797 
4194304, 8, 2528 
4194304, 9, 2454 
4194304, 10, 2536 
4194304, 11, 2449 
4194304, 12, 2434 
4194304, 13, 2301 
4194304, 14, 2217 
4194304, 15, 2281 
4194304, 16, 2189 
8388608, 1, 19091 
8388608, 2, 12323 
8388608, 3, 9192 
8388608, 4, 6892 
8388608, 5, 6019 
8388608, 6, 5258 
8388608, 7, 4598 
8388608, 8, 4646 
8388608, 9, 4486 
8388608, 10, 4394 
8388608, 11, 4193 
8388608, 12, 3871 
8388608, 13, 4104 
8388608, 14, 4102 
8388608, 15, 4125 
8388608, 16, 4214 
16777216, 1, 30187 
16777216, 2, 19996 
16777216, 3, 14202 
16777216, 4, 12798 
16777216, 5, 10494 
16777216, 6, 9477 
16777216, 7, 8715 
16777216, 8, 8621 
16777216, 9, 8395 
16777216, 10, 7665 
16777216, 11, 7290 
16777216, 12, 7212 
16777216, 13, 6433 
16777216, 14, 6612 
16777216, 15, 6640 
16777216, 16, 6095 
33554432, 1, 58764 
33554432, 2, 34118 
33554432, 3, 24607 
33554432, 4, 20171 
33554432, 5, 18538 
33554432, 6, 16834 
33554432, 7, 14920 
33554432, 8, 15367 
33554432, 9, 14517 
33554432, 10, 14317 
33554432, 11, 13638 
33554432, 12, 12885 
33554432, 13, 12968 
33554432, 14, 12319 
33554432, 15, 11805 
33554432, 16, 11645 
67108864, 1, 124193 
67108864, 2, 63026 
67108864, 3, 45613 
67108864, 4, 34926 
67108864, 5, 31764 
67108864, 6, 26470 
67108864, 7, 25190 
67108864, 8, 25731 
67108864, 9, 23774 
67108864, 10, 23883 
67108864, 11, 22740 
67108864, 12, 22247 
67108864, 13, 21972 
67108864, 14, 20408 
67108864, 15, 20224 
67108864, 16, 19802 
